"","gutenberg_id","text"
"1",16,"PETER PAN"
"2",16,""
"3",16,"[PETER AND WENDY]"
"4",16,""
"5",16,"By J. M. Barrie [James Matthew Barrie]"
"6",16,""
"7",16,"A Millennium Fulcrum Edition (c)1991 by Duncan Research"
"8",16,""
"9",16,""
"10",16,""
"11",16,""
"12",16,"Contents:"
"13",16,""
"14",16,"Chapter 1 PETER BREAKS THROUGH"
"15",16,""
"16",16,"Chapter 2 THE SHADOW"
"17",16,""
"18",16,"Chapter 3 COME AWAY, COME AWAY!"
"19",16,""
"20",16,"Chapter 4 THE FLIGHT"
"21",16,""
"22",16,"Chapter 5 THE ISLAND COME TRUE"
"23",16,""
"24",16,"Chapter 6 THE LITTLE HOUSE"
"25",16,""
"26",16,"Chapter 7 THE HOME UNDER THE GROUND"
"27",16,""
"28",16,"Chapter 8 THE MERMAID'S LAGOON"
"29",16,""
"30",16,"Chapter 9 THE NEVER BIRD"
"31",16,""
"32",16,"Chapter 10 THE HAPPY HOME"
"33",16,""
"34",16,"Chapter 11 WENDY'S STORY"
"35",16,""
"36",16,"Chapter 12 THE CHILDREN ARE CARRIED OFF"
"37",16,""
"38",16,"Chapter 13 DO YOU BELIEVE IN FAIRIES?"
"39",16,""
"40",16,"Chapter 14 THE PIRATE SHIP"
"41",16,""
"42",16,"Chapter 15 ""HOOK OR ME THIS TIME"""
"43",16,""
"44",16,"Chapter 16 THE RETURN HOME"
"45",16,""
"46",16,"Chapter 17 WHEN WENDY GREW UP"
"47",16,""
"48",16,""
"49",16,""
"50",16,""
"51",16,"Chapter 1 PETER BREAKS THROUGH"
"52",16,""
"53",16,"All children, except one, grow up. They soon know that they will grow"
"54",16,"up, and the way Wendy knew was this. One day when she was two years old"
"55",16,"she was playing in a garden, and she plucked another flower and ran with"
"56",16,"it to her mother. I suppose she must have looked rather delightful, for"
"57",16,"Mrs. Darling put her hand to her heart and cried, ""Oh, why can't you"
"58",16,"remain like this for ever!"" This was all that passed between them on"
"59",16,"the subject, but henceforth Wendy knew that she must grow up. You always"
"60",16,"know after you are two. Two is the beginning of the end."
"61",16,""
"62",16,"Of course they lived at 14 [their house number on their street], and"
"63",16,"until Wendy came her mother was the chief one. She was a lovely lady,"
"64",16,"with a romantic mind and such a sweet mocking mouth. Her romantic"
"65",16,"mind was like the tiny boxes, one within the other, that come from the"
"66",16,"puzzling East, however many you discover there is always one more; and"
"67",16,"her sweet mocking mouth had one kiss on it that Wendy could never get,"
"68",16,"though there it was, perfectly conspicuous in the right-hand corner."
"69",16,""
"70",16,"The way Mr. Darling won her was this: the many gentlemen who had been"
"71",16,"boys when she was a girl discovered simultaneously that they loved her,"
"72",16,"and they all ran to her house to propose to her except Mr. Darling, who"
"73",16,"took a cab and nipped in first, and so he got her. He got all of her,"
"74",16,"except the innermost box and the kiss. He never knew about the box, and"
"75",16,"in time he gave up trying for the kiss. Wendy thought Napoleon could"
"76",16,"have got it, but I can picture him trying, and then going off in a"
"77",16,"passion, slamming the door."
"78",16,""
"79",16,"Mr. Darling used to boast to Wendy that her mother not only loved him"
"80",16,"but respected him. He was one of those deep ones who know about stocks"
