"","gutenberg_id","text"
"1",1,"December, 1971  [Etext #1]"
"2",1,""
"3",1,""
"4",1,"The Project Gutenberg Etext of The Declaration of Independence."
"5",1,""
"6",1,"All of the original Project Gutenberg Etexts from the"
"7",1,"1970's were produced in ALL CAPS, no lower case.  The"
"8",1,"computers we used then didn't have lower case at all."
"9",1,""
"10",1,""
"11",1,"This is a retranscription of one of the first Project"
"12",1,"Gutenberg Etexts, officially dated December, 1971--"
"13",1,"and now officially re-released on December 31, 1993--"
"14",1,""
"15",1,""
"16",1,"The United States Declaration of Independence was the first Etext"
"17",1,"released by Project Gutenberg, early in 1971.  The title was stored"
"18",1,"in an emailed instruction set which required a tape or diskpack be"
"19",1,"hand mounted for retrieval.  The diskpack was the size of a large"
"20",1,"cake in a cake carrier, cost $1500, and contained 5 megabytes, of"
"21",1,"which this file took 1-2%.  Two tape backups were kept plus one on"
"22",1,"paper tape.  The 10,000 files we hope to have online by the end of"
"23",1,"2001 should take about 1-2% of a comparably priced drive in 2001."
"24",1,""
"25",1,"This file was never copyrighted, Sharewared, etc., and is thus for"
"26",1,"all to use and copy in any manner they choose.  Please feel free to"
"27",1,"make your own edition using this as a base."
"28",1,""
"29",1,"In my research for creating this transcription of our first Etext,"
"30",1,"I have come across enough discrepancies [even within that official"
"31",1,"documentation provided by the United States] to conclude that even"
"32",1,"""facsimiles"" of the Declaration of Indendence will NOT going to be"
"33",1,"all the same as the original, nor of other ""facsimiles.""  There is"
"34",1,"a plethora of variations in capitalization, punctuation, and, even"
"35",1,"where names appear on the documents [which names I have left out]."
"36",1,""
"37",1,"The resulting document has several misspellings removed from those"
"38",1,"parchment ""facsimiles"" I used back in 1971, and which I should not"
"39",1,"be able to easily find at this time, including ""Brittain."""
"40",1,""
"41",1,""
"42",1,"**The Project Gutenberg Etext of The Declaration of Independence**"
"43",1,""
"44",1,""
"45",1,""
"46",1,"THE DECLARATION OF INDEPENDENCE OF THE UNITED STATES OF AMERICA"
"47",1,""
"48",1,""
"49",1,"When in the Course of human events, it becomes necessary for"
"50",1,"one people to dissolve the political bands which have connected"
"51",1,"them with another, and to assume, among the Powers of the earth,"
"52",1,"the separate and equal station to which the Laws of Nature and"
"53",1,"of Nature's God entitle them, a decent respect to the opinions"
"54",1,"of mankind requires that they should declare the causes which"
"55",1,"impel them to the separation."
"56",1,""
"57",1,"We hold these truths to be self-evident, that all men are created equal,"
"58",1,"that they are endowed by their Creator with certain unalienable Rights,"
"59",1,"that among these are Life, Liberty, and the pursuit of Happiness."
"60",1,"That to secure these rights, Governments are instituted among Men,"
"61",1,"deriving their just powers from the consent of the governed,"
"62",1,"That whenever any Form of Government becomes destructive of these ends,"
"63",1,"it is the Right of the People to alter or to abolish it, and to institute"
"64",1,"new Government, laying its foundation on such principles and organizing"
"65",1,"its powers in such form, as to them shall seem most likely to effect"
"66",1,"their Safety and Happiness.  Prudence, indeed, will dictate that Governments"
"67",1,"long established should not be changed for light and transient causes;"
"68",1,"and accordingly all experience hath shown, that mankind are more disposed"
"69",1,"to suffer, while evils are sufferable, than to right themselves by abolishing"
"70",1,"the forms to which they are accustomed.  But when a long train of abuses and"
"71",1,"usurpations, pursuing invariably the same Object evinces a design to reduce"
"72",1,"them under absolute Despotism, it is their right, it is their duty, to throw"
"73",1,"off such Government, and to provide new Guards for their future security."
"74",1,"--Such has been the patient sufferance of these Colonies; and such is now"
"75",1,"the necessity which constrains them to alter their former Systems of Government."
"76",1,"The history of the present King of Great Britain is a history of repeated"
"77",1,"injuries and usurpations, all having in direct object the establishment"
"78",1,"of an absolute Tyranny over these States.  To prove this, let Facts"
"79",1,"be submitted to a candid world."
"80",1,""
"81",1,"He has refused his Assent to Laws, the most wholesome and necessary"
"82",1,"for the public good."
"83",1,""
"84",1,"He has forbidden his Governors to pass Laws of immediate"
"85",1,"and pressing importance, unless suspended in their operation"
"86",1,"till his Assent should be obtained; and when so suspended,"
"87",1,"he has utterly neglected to attend to them."
"88",1,""
"89",1,"He has refused to pass other Laws for the accommodation of"
"90",1,"large districts of people, unless those people would relinquish"
"91",1,"the right of Representation in the Legislature, a right"
"92",1,"inestimable to them and formidable to tyrants only."
"93",1,""
"94",1,"He has called together legislative bodies at places unusual,"
"95",1,"uncomfortable, and distant from the depository of their"
"96",1,"Public Records, for the sole purpose of fatiguing them"
"97",1,"into compliance with his measures."
"98",1,""
"99",1,"He has dissolved Representative Houses repeatedly, for opposing"
"100",1,"with manly firmness his invasions on the rights of the people."
"101",1,""
"102",1,"He has refused for a long time, after such dissolutions,"
"103",1,"to cause others to be elected; whereby the Legislative Powers,"
"104",1,"incapable of Annihilation, have returned to the People at large"
"105",1,"for their exercise; the State remaining in the mean time exposed"
"106",1,"to all the dangers of invasion from without, and convulsions within."
"107",1,""
"108",1,"He has endeavoured to prevent the population of these States;"
"109",1,"for that purpose obstructing the Laws of Naturalization of Foreigners;"
"110",1,"refusing to pass others to encourage their migration hither,"
"111",1,"and raising the conditions of new Appropriations of Lands."
"112",1,""
"113",1,"He has obstructed the Administration of Justice, by refusing his Assent"
"114",1,"to Laws for establishing Judiciary Powers."
"115",1,""
"116",1,"He has made judges dependent on his Will alone, for the tenure"
"117",1,"of their offices, and the amount and payment of their salaries."
"118",1,""
"119",1,"He has erected a multitude of New Offices, and sent hither swarms of"
"120",1,"Officers to harass our People, and eat out their substance."
"121",1,""
"122",1,"He has kept among us, in times of peace, Standing Armies"
"123",1,"without the Consent of our legislatures."
"124",1,""
"125",1,"He has affected to render the Military independent of"
"126",1,"and superior to the Civil Power."
"127",1,""
"128",1,"He has combined with others to subject us to a jurisdiction"
"129",1,"foreign to our constitution, and unacknowledged by our laws;"
"130",1,"giving his Assent to their Acts of pretended legislation:"
"131",1,""
"132",1,"For quartering large bodies of armed troops among us:"
"133",1,""
"134",1,"For protecting them, by a mock Trial, from Punishment for any Murders"
"135",1,"which they should commit on the Inhabitants of these States:"
"136",1,""
"137",1,"For cutting off our Trade with all parts of the world:"
"138",1,""
"139",1,"For imposing taxes on us without our Consent:"
"140",1,""
"141",1,"For depriving us, in many cases, of the benefits of Trial by Jury:"
"142",1,""
"143",1,"For transporting us beyond Seas to be tried for pretended offences:"
"144",1,""
"145",1,"For abolishing the free System of English Laws in a neighbouring"
"146",1,"Province, establishing therein an Arbitrary government,"
"147",1,"and enlarging its Boundaries so as to render it at once"
"148",1,"an example and fit instrument for introducing the same"
"149",1,"absolute rule into these Colonies:"
"150",1,""
"151",1,"For taking away our Charters, abolishing our most valuable Laws,"
"152",1,"and altering fundamentally the Forms of our Governments:"
"153",1,""
"154",1,"For suspending our own Legislatures, and declaring themselves"
"155",1,"invested with Power to legislate for us in all cases whatsoever."
"156",1,""
"157",1,"He has abdicated Government here, by declaring us out of his Protection"
"158",1,"and waging War against us."
"159",1,""
"160",1,"He has plundered our seas, ravaged our Coasts, burnt our towns,"
"161",1,"and destroyed the lives of our people."
"162",1,""
"163",1,"He is at this time transporting large armies of foreign mercenaries"
"164",1,"to compleat the works of death, desolation and tyranny, already begun"
"165",1,"with circumstances of Cruelty & perfidy scarcely paralleled in the"
"166",1,"most barbarous ages, and totally unworthy of the Head of a civilized nation."
"167",1,""
"168",1,"He has constrained our fellow Citizens taken Captive on the high Seas"
"169",1,"to bear Arms against their Country, to become the executioners of"
"170",1,"their friends and Brethren, or to fall themselves by their Hands."
"171",1,""
"172",1,"He has excited domestic insurrections amongst us, and has"
"173",1,"endeavoured to bring on the inhabitants of our frontiers,"
"174",1,"the merciless Indian Savages, whose known rule of warfare,"
"175",1,"is an undistinguished destruction of all ages, sexes and conditions."
"176",1,""
"177",1,"In every stage of these Oppressions We have Petitioned for Redress"
"178",1,"in the most humble terms:  Our repeated Petitions have been answered"
"179",1,"only by repeated injury.  A Prince, whose character is thus marked"
"180",1,"by every act which may define a Tyrant, is unfit to be the ruler"
"181",1,"of a free People."
"182",1,""
"183",1,"Nor have We been wanting in attention to our British brethren."
"184",1,"We have warned them from time to time of attempts by their"
"185",1,"legislature to extend an unwarrantable jurisdiction over us."
"186",1,"We have reminded them of the circumstances of our emigration and"
"187",1,"settlement here.  We have appealed to their native justice"
"188",1,"and magnanimity, and we have conjured them by the ties of our"
"189",1,"common kindred to disavow these usurpations, which would inevitably"
"190",1,"interrupt our connections and correspondence.  They too have been"
"191",1,"deaf to the voice of justice and of consanguinity.  We must, therefore,"
"192",1,"acquiesce in the necessity, which denounces our Separation, and hold them,"
"193",1,"as we hold the rest of mankind, Enemies in War, in Peace Friends."
"194",1,""
"195",1,"We, therefore, the Representatives of the United States of America,"
"196",1,"in General Congress, Assembled, appealing to the Supreme Judge of"
"197",1,"the world for the rectitude of our intentions, do, in the Name,"
"198",1,"and by the Authority of the good People of these Colonies,"
"199",1,"solemnly publish and declare, That these United Colonies are,"
"200",1,"and of Right ought to be Free and Independent States;"
"201",1,"that they are Absolved from all Allegiance to the British Crown,"
"202",1,"and that all political connection between them and the State"
"203",1,"of Great Britain, is and ought to be totally dissolved;"
"204",1,"and that as Free and Independent States, they have full Power to"
"205",1,"levy War, conclude Peace, contract Alliances, establish Commerce,"
